NetworkType,Lambda,ActualThroughput,ActualDelay,MeanValueAnalysis,GlobalBalanceMethod,GordonNewellMethod,BuzenMethod,MeanValueDelay
AdHoc,0,0,0,0,0,0,0,1.8
AdHoc,1,0.0990592,0.00014935,0.894231,0.99359,0.944122,0.812937,2.25
AdHoc,2,0.198914,0.000133192,1.72906,1.92118,1.82553,1.57188,3
AdHoc,3,0.296382,0.000124354,2.43199,2.70221,2.56767,2.2109,4.5
AdHoc,4,0.397827,0.000113324,2.97561,3.30623,3.14163,2.7051,9
AdHoc,5,0.495523,0.00011187,3.375,3.75,3.5633,3.06818,inf
AdHoc,6,0.598672,0.000111951,3.6617,4.06855,3.86599,3.32882,inf
AdHoc,7,0.68853,0.000110994,3.86655,4.29617,4.08228,3.51505,inf
AdHoc,8,0.791906,0.000110404,4.01383,4.45981,4.23777,3.64894,inf
AdHoc,9,0.883922,0.000106597,4.12096,4.57884,4.35087,3.74632,inf
AdHoc,10,0.994341,0.000127955,4.2,4.66667,4.43433,3.81818,inf
Group,0,0,0,0,0,0,0,0.6
Group,1,0.0994,0.000434568,0.745192,0.99359,0.628069,0.596154,0.675824
Group,2,0.198232,0.000420276,1.44089,1.92118,1.21442,1.15271,0.776224
Group,3,0.297632,0.000409037,2.02665,2.70221,1.70812,1.62132,0.916667
Group,4,0.396123,0.000403577,2.47967,3.30623,2.08994,1.98374,1.12987
Group,5,0.49541,0.000403714,2.8125,3.75,2.37045,2.25,1.5
Group,6,0.594014,0.000406312,3.05142,4.06855,2.57182,2.44113,2.33333
Group,7,0.690574,0.000403254,3.22213,4.29617,2.7157,2.5777,6.375
Group,8,0.792133,0.000402718,3.34486,4.45981,2.81914,2.67589,inf
Group,9,0.892328,0.000484211,3.43413,4.57884,2.89438,2.7473,inf
Group,10,0.989115,0.000457208,3.5,4.66667,2.9499,2.8,inf
