NetworkType,Lambda,Throughput_Mbps,Delay_s,PacketLoss,Load,TxPackets,RxPackets,LostPackets,DroppedPackets,TxBytes,RxBytes,Jitter_s,AvgHopCount,DeliveryRatio,Goodput_Mbps,Node0_Load,Node1_Load,Node2_Load,Node3_Load,Node4_Load,Node5_Load,Node6_Load,Node7_Load,Node8_Load,SimulationDuration,BufferSize,PacketSize,DataRate_Mbps,LinkDelay_ms,MaxPackets,NumNodes,NumGroups,ServiceRate,BuzenMultiplier
AdHoc,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,20,3,256,5,0.5,100,9,3,5,2
AdHoc,1,0.0990592,0.00014935,0,5,872,872,0,0,247648,247648,4.76608e-05,0,1,0.0990592,5,5,5,5,5,5,5,5,5,20,3,256,5,0.5,100,9,3,5,2
AdHoc,2,0.198914,0.000133192,0,5,1751,1751,0,0,497284,497284,3.11826e-05,0,1,0.198914,5,5,5,5,5,5,5,5,5,20,3,256,5,0.5,100,9,3,5,2
AdHoc,3,0.296382,0.000124354,0,5,2609,2609,0,0,740956,740956,2.23013e-05,0,1,0.296382,5,5,5,5,5,5,5,5,5,20,3,256,5,0.5,100,9,3,5,2
AdHoc,4,0.397827,0.000113324,0,5,3502,3502,0,0,994568,994568,1.11795e-05,0,1,0.397827,5,5,5,5,5,5,5,5,5,20,3,256,5,0.5,100,9,3,5,2
AdHoc,5,0.495523,0.00011187,0,5,4362,4362,0,0,1.23881e+06,1.23881e+06,9.73942e-06,0,1,0.495523,5,5,5,5,5,5,5,5,5,20,3,256,5,0.5,100,9,3,5,2
AdHoc,6,0.598672,0.000111951,0,5,5270,5270,0,0,1.49668e+06,1.49668e+06,9.81936e-06,0,1,0.598672,5,5,5,5,5,5,5,5,5,20,3,256,5,0.5,100,9,3,5,2
AdHoc,7,0.68853,0.000110994,0,5,6061,6061,0,0,1.72132e+06,1.72132e+06,8.83614e-06,0,1,0.68853,5,5,5,5,5,5,5,5,5,20,3,256,5,0.5,100,9,3,5,2
AdHoc,8,0.791906,0.000110404,0,5,6971,6971,0,0,1.97976e+06,1.97976e+06,8.27815e-06,0,1,0.791906,5,5,5,5,5,5,5,5,5,20,3,256,5,0.5,100,9,3,5,2
AdHoc,9,0.883922,0.000106597,0,5,7781,7781,0,0,2.2098e+06,2.2098e+06,4.50917e-06,0,1,0.883922,5,5,5,5,5,5,5,5,5,20,3,256,5,0.5,100,9,3,5,2
AdHoc,10,0.994341,0.000127955,0,5,8753,8753,0,0,2.48585e+06,2.48585e+06,1.20347e-05,0,1,0.994341,5,5,5,5,5,5,5,5,5,20,3,256,5,0.5,100,9,3,5,2
Group,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,20,3,256,5,0.5,100,9,3,5,2
Group,1,0.0994,0.000434568,0,5,875,875,0,0,248500,248500,3.72296e-05,0,1,0.0994,5,5,5,5,5,5,5,5,5,20,3,256,5,0.5,100,9,3,5,2
Group,2,0.198232,0.000420276,0,5,1745,1745,0,0,495580,495580,2.14521e-05,0,1,0.198232,5,5,5,5,5,5,5,5,5,20,3,256,5,0.5,100,9,3,5,2
Group,3,0.297632,0.000409037,0,5,2620,2620,0,0,744080,744080,9.6671e-06,0,1,0.297632,5,5,5,5,5,5,5,5,5,20,3,256,5,0.5,100,9,3,5,2
Group,4,0.396123,0.000403577,0,5,3487,3487,0,0,990308,990308,5.53214e-06,0,1,0.396123,5,5,5,5,5,5,5,5,5,20,3,256,5,0.5,100,9,3,5,2
Group,5,0.49541,0.000403714,0,5,4361,4361,0,0,1.23852e+06,1.23852e+06,5.11048e-06,0,1,0.49541,5,5,5,5,5,5,5,5,5,20,3,256,5,0.5,100,9,3,5,2
Group,6,0.594014,0.000406312,0,5,5229,5229,0,0,1.48504e+06,1.48504e+06,7.77966e-06,0,1,0.594014,5,5,5,5,5,5,5,5,5,20,3,256,5,0.5,100,9,3,5,2
Group,7,0.690574,0.000403254,0,5,6079,6079,0,0,1.72644e+06,1.72644e+06,5.47624e-06,0,1,0.690574,5,5,5,5,5,5,5,5,5,20,3,256,5,0.5,100,9,3,5,2
Group,8,0.792133,0.000402718,0,5,6973,6973,0,0,1.98033e+06,1.98033e+06,4.05526e-06,0,1,0.792133,5,5,5,5,5,5,5,5,5,20,3,256,5,0.5,100,9,3,5,2
Group,9,0.892328,0.000484211,0,5,7855,7855,0,0,2.23082e+06,2.23082e+06,3.08421e-05,0,1,0.892328,5,5,5,5,5,5,5,5,5,20,3,256,5,0.5,100,9,3,5,2
Group,10,0.989115,0.000457208,0,5,8707,8707,0,0,2.47279e+06,2.47279e+06,2.52366e-05,0,1,0.989115,5,5,5,5,5,5,5,5,5,20,3,256,5,0.5,100,9,3,5,2
